Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-21,Google,TienTran,Discovery,269457,17407,0,772,0,0,0,2,2,976304.3478260868,499000,134728.5,1,15479.80697420578,349.0375647668393,0.0
2020-07-21,Google,TienTran,PerMax,210046,6715,0,89,0,0,0,0,0,0.0,0,0.0,0,31280.119136262103,2360.067415730337,0.0
2020-07-21,Google,TienTran,Guu-Search,18697,403,0,13,0,0,0,0,0,0.0,0,0.0,0,46394.54094292804,1438.2307692307693,0.0
2020-07-21,Google,TienTran,Guu-Discovery,13941,1026,0,46,0,0,0,0,0,0.0,0,0.0,0,13587.719298245614,303.0652173913044,0.0
2020-07-21,Google,TienTran,Guu-PerMax,153910,7107,0,85,0,0,0,0,0,0.0,0,0.0,0,21656.11369072745,1810.7058823529408,0.0
2020-07-21,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-22,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-22,FB,DucVu,Mess,0,0,0,0,0,0,0,3,1,499000.0,499000,0.0,0,0.0,0.0,0.0
2020-07-22,FB,DucVu,Brand,716031,183688,121696,233,1,0,0,0,0,0.0,0,0.0,0,3898.0826183528593,3073.0944206008585,0.0
2020-07-22,FB,NgocNgo,CVS,581626,8190,7240,37,0,0,0,29,28,13906913.043478262,11976000,20056.068965517243,1,71016.60561660562,15719.621621621622,0.0
2020-07-22,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-22,FB,GiangPhan,CVS,3085632,39498,34828,211,9,13,0,26,19,9415913.043478262,7485000,118678.15384615384,1,78121.22132766216,14623.848341232228,237356.3076923077
2020-07-22,FB,AnhNguyen08,CVS,170463,1915,1877,4,1,0,0,0,0,0.0,0,0.0,0,89014.62140992167,42615.75,0.0
2020-07-22,FB,TungTran,CVS,152693,1849,1782,4,0,1,0,0,0,0.0,0,0.0,0,82581.3953488372,38173.25,152693.0
2020-07-22,FB,AnhTrinh,CVS,155661,2546,2387,30,0,0,0,0,0,0.0,0,0.0,0,61139.434406912806,5188.7,0.0
2020-07-22,FB,YenNguyen02,CVS,0,38447,33913,111,5,11,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-22,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-22,Google,TienTran,Search,361577,6493,0,174,0,0,0,3,2,976304.3478260868,499000,120525.66666666669,1,55687.20160172493,2078.028735632184,0.0
